response_dt,PFL_FLEET_TYP_CD,gts_12,gts_13,gts_14,gts_15,comped_med,natural_med,never_comped,lapsed_med,Lesiure_tkts_yr1,Business_tkts_yr1,total_ap_yr1,int_tkts_yr1,dom_tkts_yr1,dl_miles_flown_yr1,F_tkts_yr1,F_tkt_rev_yr1,F_miles_flown_yr1,C_tkts_yr1,C_tkt_rev_yr1,C_miles_flown_yr1,Y_tkts_yr1,Y_tkt_rev_yr1,Y_miles_flown_yr1,F_upsell_tkts_yr1,F_upsell_tkt_rev_yr1,F_upsell_miles_flown_yr1,total_tkts_yr1,total_tkt_rev_yr1,dist_partners,tenure,DSC_Entries,hhi,gts_1,dl_segs_yr1,dl_seg_rev_yr1,total_miles_flown_yr1
15-Sep-14,M90,2,2,,,0,1,0,0,21,18,672,2,37,108552,35,32045,92537,2,7435,13619,2,1646,2396,21,18681,56884,39,41127,0,20,83,250,3,115,41127,108552
24-Apr-14,MD8,4,4,,,0,1,0,0,17,6,234,10,13,108509,9,5613,31657,9,32481,61408,5,2960,24657,0,0,0,23,41053,4,23,58,222,5,78,38118,117722
9-Dec-14,320,4,5,,,0,1,1,0,10,0,173,8,2,104021,1,379,5137,7,37889,78821,2,2758,24358,0,0,0,10,41026,0,11,21,127,4,32,40444,108316
20-Nov-14,MD8,5,5,,,0,1,0,0,24,15,488,4,35,101689,34,21945,58845,4,18676,43566,1,341,858,32,20948,55401,39,40963,4,33,33,177,4,83,40541,103269
17-Sep-14,M90,,3,,,0,1,0,0,24,4,144,2,26,57567,24,21544,35874,2,18223,19508,2,1161,3571,10,6707,14985,28,40928,1,19,8,96,3,57,38807,58953
17-Apr-14,319,5,3,,,0,1,1,0,48,13,163,0,61,79023,53,37211,69646,2,952,3291,6,2758,6086,39,27233,54053,61,40921,2,11,27,27,5,142,40921,79023
23-Aug-14,M90,4,3,1,1,0,1,1,0,15,13,307,6,22,60109,2,476,1264,6,30296,33579,20,10131,25266,0,0,0,28,40903,3,16,1,250,4,48,40903,60109
11-Aug-14,320,4,4,,,0,1,1,0,48,1,1461,0,49,157828,26,20603,75660,1,1290,4223,22,18927,77945,3,3918,9469,49,40819,1,9,28,186,4,128,40819,157828
31-Aug-14,717,4,4,,,0,1,1,0,13,3,304,4,12,63147,4,3781,8136,4,31208,39756,8,5825,15255,0,0,0,16,40814,3,27,20,242,5,33,40814,63147
13-Apr-14,772,2,5,,,0,1,1,0,11,15,1100,4,22,99432,19,16175,33276,5,23938,63514,2,648,2642,14,13501,26694,26,40761,0,29,53,101,4,55,40761,99432
16-Mar-14,CR9,5,5,,,0,1,0,0,16,5,365,6,15,36383,4,12891,6336,8,23967,27402,9,3736,7739,2,1114,2256,21,40593,2,27,12,81,5,27,28667,41477
18-Jun-14,CR9,4,4,,,0,1,1,0,22,6,663,10,18,145794,17,10683,37406,8,28573,98847,3,1286,9541,8,6097,22384,28,40542,2,30,8,131,5,70,40542,145794
21-Mar-14,CRJ,4,3,,,0,1,1,0,24,4,630,15,13,102696,10,5537,20990,13,32687,80226,5,2266,8908,1,591,1431,28,40490,3,27,24,28,3,64,37765,110124
20-Nov-14,757,4,4,,,0,1,1,0,19,5,637,6,18,146358,6,1609,19385,6,33521,103453,12,5319,27951,0,0,0,24,40448,1,4,28,121,5,91,39466,150789
3-Sep-14,CR9,5,4,,,0,1,0,0,10,8,126,9,9,66711,6,6760,7840,4,25294,49745,8,8342,29997,1,1998,2960,18,40395,3,12,17,241,4,28,31080,87582
