PLAYER_ID,PLAYER,Team,WinPct,OPTPM,DPTPM,PTPM,Scoring,Passing,OffPoss,RimProtection,DefPoss,TeamDefEffect,StablizedPTPM
201952,Jeff Teague,ATL,0.779,1.99,0.68,2.67,0.98,2.66,-1.47,0.07,0.35,0.67,1.9
201143,Al Horford,ATL,0.779,1.7,0.61,2.31,0.72,0.58,0.55,0.46,0.11,0.32,1.6
200757,Thabo Sefolosha,ATL,0.779,-0.9,2.86,1.97,-0.26,-0.02,0.72,0.36,1.65,1.16,1
2594,Kyle Korver,ATL,0.779,1.97,-0.41,1.55,1.37,0.14,-0.04,-0.09,-0.48,0.53,1
200794,Paul Millsap,ATL,0.779,0.24,1.05,1.29,0.83,0.13,-0.46,-0.23,1.38,0.53,0.8
201960,DeMarre Carroll,ATL,0.779,0.44,-0.03,0.4,0.51,-0.59,0.9,-0.31,0.63,0.3,0
203118,Mike Scott,ATL,0.779,0.85,-0.63,0.22,0.84,-0.32,0.41,-0.19,-0.43,0.44,-0.5
203544,Pero Antic,ATL,0.779,-1.46,0.24,-1.21,0.04,-0.49,0.12,0.48,-1.08,0.83,-1.6
203471,Dennis Schroder,ATL,0.779,-0.98,-0.53,-1.51,0.18,1.9,-1.8,-0.28,-0.1,0.39,-1.7
202714,Shelvin Mack,ATL,0.779,-1.12,-0.56,-1.68,-0.45,1.84,-0.72,-0.19,-0.51,0.54,-2
203145,Kent Bazemore,ATL,0.779,-2.54,0.73,-1.82,-0.16,-0.5,-0.4,0.66,0.32,0.08,-2
203508,Sergey Karasev,BKN,0.409,-0.78,0.55,-0.23,-0.2,0.24,0.49,0.21,0.51,0.29,-1
708,Kevin Garnett,BKN,0.409,-1.63,1.26,-0.36,-0.23,-0.08,0.13,-0.04,1.96,0.11,-0.9
101114,Deron Williams,BKN,0.409,0.14,-1.1,-0.96,0.18,1.91,-0.9,-0.07,-0.5,-0.01,-1.2
201572,Brook Lopez,BKN,0.409,-0.32,-0.66,-0.98,0.77,-1.03,0.19,0.4,-0.38,-0.29,-1.3
203486,Mason Plumlee,BKN,0.409,-0.16,-0.88,-1.03,0.62,-0.8,0.4,-0.2,0.53,-0.44,-1.3
2207,Joe Johnson,BKN,0.409,-0.17,-0.98,-1.15,0.23,0.58,-0.1,0.15,-0.42,-0.21,-1.3
101187,Alan Anderson,BKN,0.409,-1.19,0,-1.19,-0.02,-0.5,0.46,-0.21,0.22,0.51,-1.4
