Rk,Player,Pos,Age,Team,WinPct,G,GS,Mpg,MP,PER,TSpct,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP,BLK,TOV,PF,PTS,3PA,3P,FTA
1,Louis Williams,PG,27,ATL,0.463,60,7,24.1,1446,14.2,0.547,0.8,9.1,5,22.9,1.6,0.2,13.9,1.6,1,2.6,0.087,0.3,-2.1,-1.8,0.1,0.1,1.5,1.1,10.4,3.9,0.342,3
2,Jeff Teague,PG,25,ATL,0.463,79,79,32.2,2543.8,17.1,0.541,1.6,7.9,4.7,35.1,1.8,0.5,16.1,3.3,1.9,5.2,0.098,0.9,-2,-1.1,0.6,0.2,2.9,2,16.5,2.8,0.329,4.8
3,Mike Scott,PF,25,ATL,0.463,80,6,18.5,1480,15.3,0.559,4.9,17.2,11.1,8.9,1,0.4,10.3,1.3,1.2,2.6,0.084,-0.7,-2.3,-3,-0.4,0.1,1,1.5,9.6,2.5,0.31,1.7
4,Dennis Schroder,PG,20,ATL,0.463,49,0,13.1,641.9,5.8,0.442,0.9,9.9,5.4,22,1.3,0,22.8,-1.1,0.4,-0.7,-0.054,-6.2,-2.1,-8.3,-1,0,1.2,1.1,3.7,0.9,0.238,0.9
5,Dexter Pittman,C,25,ATL,0.463,2,0,1.5,3,13.1,0,100,0,57.9,0,0,0,0,0,0,0,-0.18,-5.4,-17.3,-22.7,0,0,0,0,0,0,,1
6,Mike Muscala,PF,22,ATL,0.463,20,0,10.8,216,10.8,0.48,9.2,18.7,14,5.2,0.7,3.7,13.2,-0.1,0.2,0.2,0.04,-5.6,-0.4,-6,-0.2,0.5,0.6,1.5,3.8,0.2,0,0.7
7,Paul Millsap,PF,28,ATL,0.463,74,73,33.5,2479,19.8,0.545,7.2,21.9,14.6,16.2,2.6,2.5,13.2,2.7,4,6.7,0.129,0.7,2.4,3.1,3.2,1.1,2.5,2.8,17.9,2.9,0.358,5.3
8,Shelvin Mack,PG,23,ATL,0.463,73,11,20.4,1489.2,13.2,0.51,1.6,10.7,6.2,28.8,1.7,0.1,14.3,1.2,1.2,2.3,0.074,-0.7,-1.7,-2.4,-0.1,0,1.2,1.4,7.5,2.5,0.337,1
9,Kyle Korver,SG,32,ATL,0.463,71,71,33.9,2406.9,13.5,0.653,1.1,12.4,6.8,13.3,1.5,0.8,13.6,3.9,2,5.9,0.118,2,0.2,2.2,2.5,0.3,1.4,2.1,12,5.5,0.472,1.3
10,John Jenkins,SG,22,ATL,0.463,13,0,12.2,158.6,4.7,0.457,2.2,13.8,8.1,10.4,0.3,0.5,20.1,-0.2,0.1,-0.1,-0.043,-5.7,-1.8,-7.5,-0.2,0.1,0.8,0.8,3.1,1.4,0.222,0.3
11,Al Horford,C,27,ATL,0.463,29,29,33,957,22,0.588,8,21.4,14.8,15.2,1.4,3.6,12.3,1.5,1.3,2.8,0.141,0.8,2,2.8,1.1,1.5,2.2,1.9,18.6,0.4,0.364,2.9
12,DeMarre Carroll,SF,27,ATL,0.463,73,73,32.1,2343.3,13.9,0.575,5.3,14.5,10,8.9,2.3,0.7,10.1,3.2,2.6,5.8,0.119,1,1.1,2.1,2.4,0.3,1.1,2.6,11.1,3.7,0.362,1.9
13,Elton Brand,PF,34,ATL,0.463,73,15,19.4,1416.2,14,0.561,8,21.5,14.8,8.1,1.4,4.9,13.8,1.4,2.1,3.6,0.121,-2.7,3.1,0.5,0.9,1.2,0.8,2.6,5.7,0,0,1.3
14,Gustavo Ayon,C,28,ATL,0.463,26,14,16.5,429,12.9,0.505,11.4,22.3,16.9,10,3,1.8,20.7,0,0.7,0.7,0.078,-3.2,3,-0.2,0.2,0.4,1.1,1.8,4.3,0,,0.8
15,Pero Antic,PF,31,ATL,0.463,50,26,18.5,925,11.7,0.545,7.2,18.9,13.1,9.8,1,1,14.5,0.5,0.9,1.4,0.075,-0.5,-0.9,-1.4,0.1,0.2,1.1,2.5,7,3.4,0.327,1.3
16,Gerald Wallace,SF,31,BOS,0.305,58,16,24.4,1415.2,10,0.543,2.8,14.5,8.5,14.9,2.7,0.8,26.1,-0.3,1.6,1.3,0.043,-2.5,2.2,-0.3,0.6,0.2,1.7,1.4,5.1,1.1,0.297,1.7
17,Jared Sullinger,PF,21,BOS,0.305,74,44,27.6,2042.4,16.4,0.497,13,20.6,16.7,10.1,0.9,1.8,10.7,1.9,2,3.9,0.091,0.3,-0.6,-0.3,0.9,0.7,1.6,3.4,13.3,2.8,0.269,2.7
18,Rajon Rondo,PG,27,BOS,0.305,30,30,33.3,999,15.3,0.461,2.4,16.6,9.3,47.7,2.1,0.2,20.7,0.2,1,1.1,0.054,0.2,-0.2,0,0.5,0.1,3.3,2.2,11.7,3,0.289,2.2
19,Phil Pressey,PG,22,BOS,0.305,75,11,15.1,1132.5,8.8,0.39,1.9,8.8,5.3,30.8,3.1,0.3,24.2,-1,1.1,0.1,0.005,-3.7,-0.6,-4.4,-0.7,0.1,1.2,1.3,2.8,1.4,0.264,0.6
20,Kelly Olynyk,C,22,BOS,0.305,70,9,20,1400,15.2,0.546,11,18.8,14.8,13.1,1.3,1.5,16,1.5,1.4,2.9,0.101,0.3,0.2,0.5,0.9,0.4,1.5,3.2,8.7,1.6,0.351,1.7
21,Chris Johnson,SF,23,BOS,0.305,40,0,19.7,788,10.8,0.537,4.3,9.8,7,6,1.8,0.4,8.6,0.9,0.5,1.4,0.085,0.1,-0.9,-0.8,0.2,0.1,0.6,1.6,6.3,3.2,0.339,1.1
22,Kris Humphries,PF,28,BOS,0.305,69,30,19.9,1373.1,18.2,0.552,10.2,24,16.9,8.2,1.2,3.4,10.9,2.3,1.8,4.1,0.143,-1.2,1.2,0,0.7,0.9,0.9,2,8.4,0,0,2.1
23,Jeff Green,SF,27,BOS,0.305,82,82,34.2,2804.4,13.1,0.52,2.1,13.6,7.7,8.4,1,1.3,11.1,1.3,2,3.3,0.057,-0.7,-1.3,-2.1,0,0.6,2,2.2,16.9,4.8,0.341,4.3
24,Vitor Faverani,C,25,BOS,0.305,37,8,13.2,488.4,11,0.502,9.5,20.6,14.9,5.2,1.5,4.3,20.1,-0.3,0.7,0.3,0.031,-4.2,1.1,-3.1,-0.1,0.7,1.1,2,4.4,1.1,0.3,1
25,Avery Bradley,PG,23,BOS,0.305,60,58,30.9,1854,12.7,0.51,2.9,11.2,6.9,8.1,1.7,0.5,9.9,0.4,1.4,1.8,0.046,-1.1,-1.4,-2.5,-0.2,0.2,1.6,2.4,14.9,3.3,0.395,1.9
