Rk,Player,Pos,Age,WinPct,Team,G,MP,PER,TSpct,3PAr,FTr,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,USGpct,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP
1,Louis Williams,PG,27,0.463,ATL,60,1445,14.2,0.547,0.469,0.363,0.8,9.1,5,22.9,1.6,0.2,13.9,20.9,1.6,1,2.6,0.087,0.3,-2.1,-1.8,0.1
2,Jeff Teague,PG,25,0.463,ATL,79,2542,17.1,0.541,0.216,0.362,1.6,7.9,4.7,35.1,1.8,0.5,16.1,25.7,3.3,1.9,5.2,0.098,0.9,-2,-1.1,0.6
3,Mike Scott,PF,25,0.463,ATL,80,1482,15.3,0.559,0.318,0.21,4.9,17.2,11.1,8.9,1,0.4,10.3,23.5,1.3,1.2,2.6,0.084,-0.7,-2.3,-3,-0.4
7,Paul Millsap,PF,28,0.463,ATL,74,2482,19.8,0.545,0.202,0.373,7.2,21.9,14.6,16.2,2.6,2.5,13.2,25.7,2.7,4,6.7,0.129,0.7,2.4,3.1,3.2
8,Shelvin Mack,PG,23,0.463,ATL,73,1490,13.2,0.51,0.367,0.148,1.6,10.7,6.2,28.8,1.7,0.1,14.3,19,1.2,1.2,2.3,0.074,-0.7,-1.7,-2.4,-0.1
9,Kyle Korver,SG,32,0.463,ATL,71,2408,13.5,0.653,0.644,0.154,1.1,12.4,6.8,13.3,1.5,0.8,13.6,14.2,3.9,2,5.9,0.118,2,0.2,2.2,2.5
11,Al Horford,C,27,0.463,ATL,29,958,22,0.588,0.026,0.202,8,21.4,14.8,15.2,1.4,3.6,12.3,24.7,1.5,1.3,2.8,0.141,0.8,2,2.8,1.1
12,DeMarre Carroll,SF,27,0.463,ATL,73,2341,13.9,0.575,0.417,0.22,5.3,14.5,10,8.9,2.3,0.7,10.1,15.2,3.2,2.6,5.8,0.119,1,1.1,2.1,2.4
13,Elton Brand,PF,34,0.463,ATL,73,1414,14,0.561,0.006,0.283,8,21.5,14.8,8.1,1.4,4.9,13.8,13.9,1.4,2.1,3.6,0.121,-2.7,3.1,0.5,0.9
15,Pero Antic,PF,31,0.463,ATL,50,925,11.7,0.545,0.582,0.224,7.2,18.9,13.1,9.8,1,1,14.5,18.6,0.5,0.9,1.4,0.075,-0.5,-0.9,-1.4,0.1
16,Gerald Wallace,SF,31,0.305,BOS,58,1416,10,0.543,0.278,0.439,2.8,14.5,8.5,14.9,2.7,0.8,26.1,11.6,-0.3,1.6,1.3,0.043,-2.5,2.2,-0.3,0.6
17,Jared Sullinger,PF,21,0.305,BOS,74,2041,16.4,0.497,0.231,0.226,13,20.6,16.7,10.1,0.9,1.8,10.7,24.1,1.9,2,3.9,0.091,0.3,-0.6,-0.3,0.9
18,Rajon Rondo,PG,27,0.305,BOS,30,998,15.3,0.461,0.257,0.191,2.4,16.6,9.3,47.7,2.1,0.2,20.7,21.3,0.2,1,1.1,0.054,0.2,-0.2,0,0.5
19,Phil Pressey,PG,22,0.305,BOS,75,1132,8.8,0.39,0.419,0.178,1.9,8.8,5.3,30.8,3.1,0.3,24.2,14.1,-1,1.1,0.1,0.005,-3.7,-0.6,-4.4,-0.7
20,Kelly Olynyk,C,22,0.305,BOS,70,1400,15.2,0.546,0.227,0.243,11,18.8,14.8,13.1,1.3,1.5,16,21,1.5,1.4,2.9,0.101,0.3,0.2,0.5,0.9
22,Kris Humphries,PF,28,0.305,BOS,69,1376,18.2,0.552,0.004,0.312,10.2,24,16.9,8.2,1.2,3.4,10.9,19,2.3,1.8,4.1,0.143,-1.2,1.2,0,0.7
23,Jeff Green,SF,27,0.305,BOS,82,2805,13.1,0.52,0.338,0.304,2.1,13.6,7.7,8.4,1,1.3,11.1,23.6,1.3,2,3.3,0.057,-0.7,-1.3,-2.1,0
25,Avery Bradley,PG,23,0.305,BOS,60,1855,12.7,0.51,0.242,0.136,2.9,11.2,6.9,8.1,1.7,0.5,9.9,23.2,0.4,1.4,1.8,0.046,-1.1,-1.4,-2.5,-0.2
28,Brandon Bass,PF,28,0.305,BOS,82,2266,15,0.549,0.008,0.33,7.8,15.9,11.8,6.4,0.8,2.4,10.9,18.2,3.2,1.9,5.1,0.107,-1.3,0.2,-1.2,0.5
30,Deron Williams,PG,29,0.537,BRK,64,2059,17.6,0.564,0.374,0.302,0.9,8.9,4.9,32.8,2.4,0.5,15,21.8,3.8,1.5,5.4,0.125,2.7,-1.5,1.2,1.6
32,Mirza Teletovic,SF,28,0.537,BRK,72,1396,14.3,0.559,0.66,0.117,5.2,17.6,11.4,7.1,1.1,1.4,8.8,20.5,1.6,1.1,2.7,0.094,1.5,-2,-0.5,0.5
34,Mason Plumlee,PF,23,0.537,BRK,70,1275,19,0.67,0.01,0.646,9.3,19.6,14.5,8.1,2,3.6,16.6,17.1,3,1.7,4.7,0.176,0.5,1.9,2.4,1.4
35,Paul Pierce,SF,36,0.537,BRK,75,2098,16.8,0.595,0.421,0.435,1.5,18.3,9.9,14.5,2.2,1.2,15.3,22.4,2.9,2.3,5.2,0.119,1.3,0.2,1.5,1.8
37,Shaun Livingston,PG,28,0.537,BRK,76,1974,14.5,0.551,0.012,0.392,4.1,10.8,7.5,20.1,2.5,1.3,15.5,16.1,2.6,1.8,4.4,0.108,-0.5,1.1,0.6,1.3
38,Andrei Kirilenko,PF,32,0.537,BRK,45,857,12.4,0.532,0.031,0.744,7.7,12.7,10.2,13.1,2.4,1.9,20.3,14.6,0.4,0.9,1.3,0.07,-1.9,1.8,-0.1,0.4
39,Joe Johnson,SG,32,0.537,BRK,79,2575,15.5,0.564,0.397,0.192,2.2,10.3,6.3,15,1,0.3,9.8,22.3,3.9,1,4.9,0.091,2,-2.2,-0.1,1.2
41,Kevin Garnett,C,37,0.537,BRK,54,1109,13.3,0.467,0.008,0.132,6.5,32.1,19.3,12.4,2,3,15.5,18.9,-0.7,1.9,1.2,0.054,-4.7,2.8,-1.9,0
43,Andray Blatche,PF,27,0.537,BRK,73,1618,18.8,0.532,0.08,0.328,8.9,19.9,14.4,12.8,2.4,2,12.5,25.6,1.6,2.1,3.7,0.109,-0.6,0.7,0.1,0.8
44,Alan Anderson,SF,31,0.537,BRK,78,1773,9.5,0.525,0.511,0.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,0.8,0.9,1.7,0.047,-0.8,-1.4,-2.2,-0.1
45,Cody Zeller,C,21,0.524,CHA,82,1416,13.1,0.498,0.002,0.495,9.4,18.8,14.1,10.4,1.5,2.3,15,18.9,0.4,2.2,2.6,0.09,-3.2,1.8,-1.3,0.2
46,D.J. White,PF,27,0.524,CHA,2,10,2.4,0,0,0,0,22.7,11.3,0,5.2,0,0,4.6,0,0,0,0.004,-10.3,3.4,-6.9,0
47,Kemba Walker,PG,23,0.524,CHA,73,2614,16.8,0.499,0.286,0.295,1.7,11.6,6.6,29.7,1.7,1,11.6,25.8,1.8,3.3,5.1,0.093,1.6,0.2,1.7,2.4
48,Anthony Tolliver,PF,28,0.524,CHA,64,1298,11,0.605,0.805,0.134,2.9,11.8,7.3,5,0.8,0.9,6.6,12.4,1.9,1.3,3.2,0.117,0.8,-0.5,0.3,0.8
49,Jeffery Taylor,SF,24,0.524,CHA,26,629,5.9,0.436,0.307,0.216,2.7,8.1,5.4,5.7,1.1,0.6,9.5,19.4,-0.8,0.6,-0.2,-0.019,-4.2,-1.2,-5.4,-0.5
50,Jannero Pargo,PG,34,0.524,CHA,29,242,18.9,0.554,0.508,0.093,0.5,8.9,4.7,40.3,3,0.3,17.5,28.4,0.2,0.4,0.5,0.105,3.1,-2.2,0.9,0.2
51,Josh McRoberts,PF,26,0.524,CHA,78,2360,13.8,0.548,0.514,0.15,4,13.8,8.9,21.9,1.3,1.5,12.1,13.4,3.5,3,6.5,0.132,1.3,1.6,2.9,2.9
52,Michael Kidd-Gilchrist,SF,20,0.524,CHA,62,1502,12,0.516,0.025,0.521,8.2,16.2,12.2,5.4,1.5,2.1,12.1,15.2,0.9,2.2,3.1,0.098,-2.7,1.7,-0.9,0.4
53,Al Jefferson,C,29,0.524,CHA,73,2553,22.7,0.532,0.011,0.201,6.9,28.3,17.5,12.8,1.4,2.4,7.6,29.3,3.1,4.7,7.8,0.146,0.3,1.5,1.8,2.5
54,Gerald Henderson,SG,26,0.524,CHA,77,2461,13.1,0.507,0.124,0.332,1.4,12.9,7.1,13.9,1.1,1,9.6,22.1,0.8,2.8,3.6,0.071,-1.7,0,-1.7,0.2
