Rk,Player,Pos,Team,WinPct,Age,G,MP,PER,Ts_pct,3PAr,FTr,ORBpct,DRBpct,TRBpct,ASTpct,STLpct,BLKpct,TOVpct,USGpct,OWS,DWS,WS,WSp48,OBPM,DBPM,BPM,VORP
1,Jeff Teague,PG,ATL,0.779,26,62,1921,21,0.572,0.239,0.382,1.2,7.3,4.4,38.1,2.8,1.3,16.3,25.5,4.7,2.4,7.1,0.177,2.7,-0.8,2,1.9
2,Thabo Sefolosha,SF,ATL,0.779,30,45,853,13.7,0.508,0.32,0.251,6.4,19.1,12.9,11.3,2.8,2.1,12.4,13.8,0.7,1.5,2.3,0.127,-1.1,2.9,1.8,0.8
3,Mike Scott,PF,ATL,0.779,26,62,982,15.2,0.549,0.421,0.166,4.8,14.4,9.8,10.8,0.9,0.3,7.4,21.4,1.5,0.9,2.4,0.119,0.7,-2.2,-1.5,0.1
4,Dennis Schroder,PG,ATL,0.779,21,66,1281,14.9,0.505,0.207,0.28,2,9.6,6,34.5,1.9,0.2,17.1,26.5,0.6,1.3,1.9,0.071,-1,-1.8,-2.8,-0.2
6,Paul Millsap,PF,ATL,0.779,29,65,2148,19.9,0.567,0.233,0.367,7,20,13.7,15.2,2.7,2.3,13.8,23.9,3.5,3.9,7.4,0.166,1.6,2.6,4.1,3.3
8,Kyle Korver,SG,ATL,0.779,33,64,2093,14.9,0.71,0.745,0.198,0.8,13.1,7.2,11.8,1,1.4,14.3,14.2,4.5,2.1,6.7,0.153,3.3,0.2,3.5,2.9
10,Al Horford,C,ATL,0.779,28,64,1974,21.2,0.557,0.039,0.158,6.6,20.3,13.7,18.7,1.5,3.6,8.7,22.2,4.3,3.2,7.5,0.182,1.2,2.8,4,3
11,DeMarre Carroll,SF,ATL,0.779,28,58,1821,15.2,0.596,0.479,0.273,5.4,13.5,9.6,7.6,2.2,0.6,8.6,16.1,3.5,2.3,5.8,0.153,2.3,0.6,2.9,2.3
13,Kent Bazemore,SG,ATL,0.78,25,61,1046,9.8,0.523,0.382,0.309,1.7,16.7,9.5,8.6,2.2,2.2,16.9,15.5,-0.3,1.6,1.3,0.059,-3.2,1.7,-1.5,0.1
14,Pero Antic,PF,ATL,0.78,32,52,850,8.5,0.481,0.577,0.423,7.1,13.3,10.3,7.5,0.7,1.4,12.8,17.6,0.1,0.8,0.9,0.052,-1.8,-1.2,-3,-0.2
15,Tyler Zeller,C,BOS,0.448,25,67,1409,18.8,0.595,0,0.324,9.3,19.9,14.6,10.3,0.5,2.6,10.4,19.4,3.6,1.5,5.1,0.174,0.4,0.3,0.7,1
16,James Young,SG,BOS,0.448,19,29,301,8.5,0.456,0.648,0.275,3.2,11.4,7.3,5.2,1.2,0.5,3.8,15.4,0.1,0.2,0.3,0.046,-1.9,-2.1,-3.9,-0.1
17,Gerald Wallace,SF,BOS,0.448,32,27,222,5.3,0.42,0.13,0.435,4.9,14,9.4,3.5,2.9,1.4,32.2,8,-0.3,0.3,0,0.008,-6.1,2.7,-3.4,-0.1
18,Evan Turner,SG,BOS,0.448,26,67,1788,11.9,0.471,0.162,0.201,2.2,18.1,10.1,28,1.8,0.6,20,19.3,-0.6,2.1,1.4,0.038,-2.7,1,-1.7,0.1
19,Jared Sullinger,PF,BOS,0.448,22,51,1462,18.4,0.512,0.26,0.179,10.1,21.1,15.5,14,1.3,1.8,8.9,23.6,2.1,1.8,3.9,0.128,1.5,0.5,2.1,1.5
20,Marcus Smart,PG,BOS,0.448,20,53,1404,11.3,0.493,0.595,0.268,3.8,10.7,7.2,17.9,2.5,0.7,15,15.6,0.7,1.5,2.2,0.075,0.1,0.8,0.9,1
21,Phil Pressey,PG,BOS,0.448,23,41,478,11.2,0.451,0.429,0.286,1.8,11.6,6.6,26.6,2.7,0.8,17.3,17.4,-0.1,0.6,0.5,0.051,-2.3,-0.3,-2.6,-0.1
22,Kelly Olynyk,C,BOS,0.448,23,49,1142,15.4,0.555,0.32,0.27,6.9,16.8,11.8,12.1,2.1,2.2,15,20.9,1,1.5,2.5,0.107,0.4,1.2,1.5,1
23,Avery Bradley,SG,BOS,0.448,24,63,1986,11.4,0.506,0.339,0.098,2,8.7,5.3,8.6,1.7,0.5,9.2,21.1,0.3,1.5,1.8,0.044,-0.8,-1.2,-2,0
24,Brandon Bass,PF,BOS,0.448,29,67,1554,16.3,0.549,0.042,0.289,7.6,15.1,11.3,9.1,1,1.4,9.5,19.9,2.6,1.4,4,0.124,-0.6,-0.4,-1,0.4
25,Deron Williams,PG,BRK,0.409,30,52,1614,15.1,0.504,0.303,0.338,1.2,9.8,5.5,31.7,1.7,0.7,15.2,22.6,1.5,1,2.5,0.073,0.8,-1.3,-0.5,0.6
26,Mirza Teletovic,PF,BRK,0.409,29,40,892,10.7,0.5,0.605,0.144,3.4,21,12.3,8.1,0.8,1.5,13.5,20.1,-0.3,0.8,0.5,0.027,-1.4,-1,-2.4,-0.1
27,Mason Plumlee,C,BRK,0.409,24,66,1489,18.9,0.577,0.007,0.648,11.3,21.5,16.5,6.6,1.9,3.2,13.7,19.7,2.4,2,4.4,0.142,-0.2,1.5,1.2,1.2
29,Brook Lopez,C,BRK,0.409,26,56,1530,20.3,0.535,0.014,0.276,11.3,17,14.2,4.5,1,4.8,10,26.6,2.2,1.6,3.8,0.12,-1,-0.4,-1.4,0.2
33,Joe Johnson,SG,BRK,0.409,33,64,2229,14.2,0.524,0.318,0.165,2.3,13.1,7.7,16.5,1.1,0.5,11.5,21,1.9,1.2,3.1,0.067,0.8,-0.7,0.1,1.2
35,Jarrett Jack,PG,BRK,0.409,31,64,1905,14.4,0.522,0.177,0.259,1.1,11,6,27.6,1.7,0.6,17.8,22.2,0.9,1.2,2.1,0.053,-0.5,-0.8,-1.3,0.3
37,Bojan Bogdanovic,SF,BRK,0.409,25,62,1421,10.6,0.545,0.46,0.206,3.3,9.9,6.6,5.5,0.9,0.3,11.5,16.7,1,0.5,1.5,0.052,-0.5,-1.8,-2.3,-0.1
38,Alan Anderson,SG,BRK,0.409,32,65,1516,10.1,0.554,0.505,0.228,2.2,10.9,6.6,7.2,1.6,0.3,11.6,13.8,1.2,0.9,2.2,0.069,-0.3,-0.4,-0.7,0.5
39,Tony Snell,SF,CHI,0.594,23,59,1154,10.7,0.567,0.538,0.162,2.6,10.7,6.7,5.8,1.4,0.5,11.5,14.2,1.1,1,2.1,0.086,-0.4,-1,-1.4,0.2
40,Derrick Rose,PG,CHI,0.594,26,46,1428,16,0.496,0.323,0.224,2.6,8.2,5.5,30.5,1.1,0.8,14.8,31.4,0.3,1,1.2,0.042,1.3,-2.6,-1.3,0.3
41,Joakim Noah,C,CHI,0.594,29,57,1754,15.5,0.483,0.005,0.426,12.3,22.4,17.5,22.2,1.1,2.8,19,14.1,2.2,2.5,4.7,0.129,-0.1,3.5,3.4,2.4
44,Nikola Mirotic,PF,CHI,0.594,23,69,1331,17.3,0.554,0.486,0.478,4.3,22.7,13.7,9.6,1.6,2.4,10.6,21.5,2.4,2.1,4.5,0.162,0.8,0,0.8,0.9
