,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Age,G,MP,PctMP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Russell Westbrook,26,53,1792,0.1088038859,29.6,0.539,0.176,0.451,6.4,16.2,11.4,47.8,3.2,0.4,14.4,38.3,,5.9,2.7,8.7,0.232,,9,2.5,11.5,6.1
2,Kevin Durant,26,27,913,0.0554341226,27.7,0.633,0.34,0.366,1.9,18.5,10.4,22.6,1.3,2.2,12,29.2,,3.7,1.1,4.9,0.257,,6.5,0,6.4,1.9
3,Enes Kanter,22,13,392,0.02380085,23.1,0.603,0,0.382,17.9,18.9,18.4,8,0.9,1,12.3,22.3,,1.3,0.4,1.7,0.214,,2.7,-1.2,1.5,0.3
4,Serge Ibaka,25,64,2116,0.128476017,16.6,0.549,0.261,0.14,7,17.9,12.6,4.2,0.7,5.8,10.4,19,,2.9,3,5.8,0.132,,-0.6,1.5,0.9,1.5
5,Andre Roberson,23,60,1177,0.0714632665,9.4,0.522,0.392,0.265,5.2,15.8,10.7,7.5,2,1.9,17.2,9,,0.6,1.6,2.2,0.088,,-1.8,2.3,0.5,0.7
6,Steven Adams,21,56,1375,0.0834851245,14,0.559,0.003,0.481,12,19,15.6,6.1,1,4,18.6,14.7,,1.3,1.9,3.2,0.113,,-1.6,2,0.4,0.8
7,Nick Collison,34,61,982,0.059623558,11,0.482,0.247,0.265,9,15.2,12.2,11.6,1.7,1.7,14.4,12.8,,0.8,1.2,2,0.099,,-1.2,1.4,0.1,0.5
8,Anthony Morrow,29,60,1413,0.0857923497,14,0.585,0.508,0.144,2.6,8.8,5.7,5.4,1.4,0.4,5.6,16.5,,3.1,1.1,4.2,0.141,,1.8,-1.8,0,0.7
9,Reggie Jackson,24,50,1398,0.0848816029,15.6,0.511,0.274,0.2,2.2,12.9,7.7,24.9,1.5,0.3,12.7,22.2,,1.8,1.3,3.1,0.105,,0.7,-1,-0.3,0.6
10,Jeremy Lamb,22,41,584,0.0354584092,15,0.545,0.451,0.226,1.3,15.9,8.8,11.4,1.8,0.8,9.8,20.4,,0.9,0.7,1.6,0.131,,0.1,-1.2,-1.1,0.1
11,D.J. Augustin,27,14,360,0.0218579235,12.6,0.539,0.527,0.236,0.9,10.7,5.9,19.9,1.5,0,15.3,17.2,,0.4,0.3,0.7,0.097,,0.1,-1.6,-1.5,0
12,Mitch McGary,22,19,280,0.0170006072,19.3,0.554,0.01,0.305,13.7,22.7,18.3,3.6,1.6,2.5,10.5,20.6,,0.5,0.4,1,0.167,,-1.4,-1.1,-2.5,0
13,Kyle Singler,26,13,228,0.0138433515,5.9,0.427,0.545,0.145,3.4,9.6,6.6,5.5,1.1,1.4,6.4,11.9,,0,0.2,0.2,0.046,,-2.6,-0.6,-3.2,-0.1
14,Sebastian Telfair,29,16,327,0.0198542805,11.5,0.479,0.48,0.272,0.7,8.9,4.9,21.1,1.5,0,11.4,20.9,,0.2,0.3,0.5,0.067,,-0.5,-2.7,-3.3,-0.1
15,Kendrick Perkins,30,51,981,0.0595628415,7.4,0.461,0.005,0.403,8.9,21.1,15.2,6.2,0.7,3.1,25.3,12.9,,-0.8,1.3,0.5,0.022,,-5.3,1.8,-3.5,-0.4
16,Dion Waiters,23,33,935,0.0567698846,8.5,0.43,0.27,0.172,1.8,8.1,5,9.1,1.7,0.6,8.4,21.5,,-0.7,0.8,0.1,0.003,,-3.2,-1.6,-4.8,-0.7
17,Perry Jones,23,36,566,0.0343655131,7,0.477,0.333,0.214,1,12.1,6.7,3.6,1.2,1,11.2,15,,-0.2,0.5,0.3,0.026,,-4.1,-1.2,-5.3,-0.5
18,Lance Thomas,26,22,450,0.0273224044,6.6,0.402,0.008,0.262,6.8,10.9,8.9,6.4,1.2,0,10.8,15.1,,-0.3,0.3,0.1,0.01,,-4.5,-0.9,-5.4,-0.4
19,Ish Smith,26,30,155,0.0094110504,9,0.378,0.111,0.2,3.5,14.8,9.3,25.9,1.3,0.5,15.5,16.2,,-0.1,0.2,0.1,0.019,,-4.7,-0.9,-5.5,-0.1
20,Steve Novak,31,3,21,0.0012750455,-1.9,0.357,0.857,0,0,0,0,6.8,0,3.8,22.2,18.5,,-0.1,0,-0.1,-0.158,,-8,-4.2,-12.2,-0.1
21,Grant Jerrett,21,5,25,0.0015179114,-11.1,0.206,0.765,0,4.4,12.5,8.5,5.9,0,6.3,10.5,32.9,,-0.2,0,-0.2,-0.372,,-12.4,-4,-16.4,-0.1
,,,,16470,,,,,,,,,,,,,,,,,,,,,,,
