id,log_feature,volume
6597,feature 68,2
8011,feature 68,3
2597,feature 68,1
5022,feature 172,1
5022,feature 56,1
5022,feature 193,2
5022,feature 71,2
6852,feature 201,1
6852,feature 56,1
6852,feature 80,1
5611,feature 80,1
14838,feature 203,2
14838,feature 82,3
14838,feature 80,3
2588,feature 82,3
2588,feature 201,2
2588,feature 80,4
2588,feature 203,2
4848,feature 56,2
4848,feature 80,4
4848,feature 172,1
4848,feature 201,3
4848,feature 82,1
6914,feature 68,3
5337,feature 201,1
5337,feature 193,3
5337,feature 80,1
5337,feature 71,3
10460,feature 201,2
10460,feature 80,2
15494,feature 56,1
15494,feature 172,1
10289,feature 80,2
10289,feature 201,1
8587,feature 201,2
8587,feature 80,2
12943,feature 111,1
12943,feature 201,5
12943,feature 80,5
590,feature 80,2
590,feature 201,1
16416,feature 68,2
3399,feature 80,1
3399,feature 201,1
1505,feature 201,2
1505,feature 80,3
9446,feature 68,2
9446,feature 193,3
9446,feature 71,2
12482,feature 201,1
12482,feature 80,2
16538,feature 201,3
16538,feature 80,3
16538,feature 82,2
16538,feature 203,3
2250,feature 193,2
2250,feature 71,1
5259,feature 80,1
5259,feature 219,1
5259,feature 134,1
5259,feature 201,1
12751,feature 71,1
12751,feature 82,3
12751,feature 201,2
12751,feature 193,1
12751,feature 203,3
12751,feature 80,2
5195,feature 80,1
5195,feature 82,1
5195,feature 203,1
5195,feature 201,1
1233,feature 80,4
1233,feature 203,4
1233,feature 201,4
1233,feature 82,4
4703,feature 159,1
4703,feature 201,2
4703,feature 193,2
4703,feature 198,2
17508,feature 203,2
17508,feature 82,2
17508,feature 201,2
17508,feature 80,2
6008,feature 56,1
6008,feature 201,1
6008,feature 82,2
6008,feature 80,2
2906,feature 80,1
2906,feature 56,1
2906,feature 82,1
1247,feature 82,1
1247,feature 80,2
1247,feature 201,1
1247,feature 56,1
17909,feature 80,1
8148,feature 111,2
8148,feature 201,1
8148,feature 82,2
8148,feature 80,4
8148,feature 203,1
17595,feature 203,3
17595,feature 201,3
17595,feature 111,1
17595,feature 80,2
17595,feature 82,4
7515,feature 82,1
7515,feature 80,2
7515,feature 201,1
17041,feature 111,1
17041,feature 201,2
17041,feature 80,3
6692,feature 203,1
6692,feature 82,1
6692,feature 80,1
14595,feature 201,1
14595,feature 80,2
14595,feature 82,2
14595,feature 203,1
15952,feature 201,1
15952,feature 82,1
15952,feature 80,1
15952,feature 203,1
9664,feature 198,1
9664,feature 76,1
3952,feature 203,2
3952,feature 201,3
3952,feature 82,2
3952,feature 80,2
8461,feature 80,2
8461,feature 82,2
6743,feature 82,1
6743,feature 80,1
16097,feature 172,1
16097,feature 56,1
1235,feature 82,3
1235,feature 80,1
1235,feature 203,2
1235,feature 201,1
9317,feature 172,1
9317,feature 56,1
9317,feature 80,1
9651,feature 82,2
9651,feature 80,3
7832,feature 80,1
7832,feature 172,1
7832,feature 56,1
7832,feature 82,1
5280,feature 172,1
5280,feature 82,2
5280,feature 203,1
5280,feature 80,2
282,feature 80,2
282,feature 82,1
4574,feature 82,1
4574,feature 80,2
2043,feature 203,1
2043,feature 80,2
2043,feature 82,2
6693,feature 80,1
6693,feature 82,1
16479,feature 80,1
16479,feature 82,1
7466,feature 203,1
7466,feature 82,1
7466,feature 201,1
7466,feature 80,3
4814,feature 82,1
10842,feature 82,2
10842,feature 56,1
10039,feature 80,1
4337,feature 203,1
4337,feature 82,2
4787,feature 80,2
16586,feature 80,1
16586,feature 82,1
8796,feature 203,2
8796,feature 80,2
8796,feature 82,2
8796,feature 201,2
6954,feature 80,1
6954,feature 203,1
6954,feature 201,1
6954,feature 82,1
17648,feature 82,2
1849,feature 82,1
16949,feature 80,1
16949,feature 201,1
14593,feature 82,1
14593,feature 80,1
12587,feature 68,1
2240,feature 167,3
2240,feature 51,3
5356,feature 51,5
5356,feature 167,5
1285,feature 228,2
1285,feature 230,2
1285,feature 308,2
1285,feature 310,2
17155,feature 134,1
17155,feature 228,2
17155,feature 230,2
17155,feature 310,2
17155,feature 301,1
17155,feature 221,1
17155,feature 308,2
17155,feature 219,1
1308,feature 230,1
1308,feature 228,1
1308,feature 310,1
1308,feature 308,1
3251,feature 307,1
3251,feature 312,1
3251,feature 232,1
3251,feature 227,1
9313,feature 301,1
9313,feature 219,1
9313,feature 221,1
9313,feature 134,1
14926,feature 160,1
14926,feature 309,1
14926,feature 229,1
14926,feature 181,1
17407,feature 308,1
17407,feature 312,1
17407,feature 307,1
17407,feature 230,1
17407,feature 228,1
17407,feature 232,1
17407,feature 310,1
6395,feature 312,1
6395,feature 232,1
6395,feature 307,1
6395,feature 227,2
16600,feature 232,1
16600,feature 307,1
16600,feature 312,1
137,feature 232,1
137,feature 227,1
137,feature 312,1
17255,feature 312,1
17255,feature 232,1
17255,feature 307,1
8443,feature 312,1
8443,feature 227,1
8443,feature 307,1
8443,feature 308,1
8443,feature 232,1
8443,feature 309,1
8443,feature 229,1
8443,feature 228,1
9291,feature 312,2
9291,feature 307,1
9291,feature 227,1
9291,feature 232,2
1821,feature 312,2
1821,feature 307,1
1821,feature 232,1
13270,feature 314,1
13270,feature 307,1
13270,feature 313,1
13270,feature 234,1
13270,feature 312,1
13270,feature 309,1
18500,feature 227,1
18500,feature 232,1
8774,feature 312,1
8774,feature 307,1
1243,feature 307,1
1243,feature 312,1
1243,feature 232,1
6474,feature 232,1
6474,feature 312,1
15687,feature 234,1
15687,feature 314,1
16351,feature 312,1
16351,feature 227,1
16351,feature 232,1
16351,feature 307,1
5163,feature 232,1
5163,feature 307,1
5163,feature 312,1
5163,feature 227,1
12650,feature 312,1
7116,feature 312,1
7116,feature 232,1
7116,feature 227,1
18189,feature 312,1
18189,feature 233,1
18189,feature 307,1
18189,feature 234,1
18189,feature 313,1
18189,feature 314,1
2653,feature 307,1
2653,feature 312,1
3331,feature 232,1
3331,feature 312,2
3331,feature 307,1
3331,feature 227,1
3375,feature 307,1
3375,feature 232,2
3375,feature 312,2
3375,feature 227,2
16056,feature 309,1
16056,feature 312,1
16056,feature 307,1
16056,feature 229,1
14969,feature 232,1
14969,feature 307,3
14969,feature 312,1
14969,feature 227,4
12825,feature 232,3
12825,feature 227,2
12825,feature 312,3
12825,feature 307,3
6176,feature 232,3
6176,feature 312,3
15850,feature 232,3
15850,feature 227,2
15850,feature 307,1
15850,feature 312,3
10825,feature 227,3
10825,feature 307,2
16628,feature 232,4
16628,feature 227,1
16628,feature 312,4
16628,feature 307,4
3446,feature 232,1
3446,feature 227,3
3446,feature 307,3
8716,feature 219,1
14963,feature 68,1
12318,feature 84,1
12318,feature 167,1
12318,feature 51,1
18076,feature 134,1
18076,feature 167,1
18076,feature 84,1
18076,feature 51,1
18076,feature 205,1
18076,feature 219,1
